GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
scaffolding,com.pst.crewpro.dao,DefaultProfilesDao,0,73,0,0,0,16,0,6,0,6
scaffolding,com.pst.crewpro.dao,DefaultProfilesDao.ProfilesRowMapper,6,0,0,0,2,0,1,0,1,0
scaffolding,com.pst.crewpro.config,TraceFilter,5,47,2,2,2,16,2,2,0,2
scaffolding,com.pst.crewpro.business,DefaultProfilesBusiness,0,49,0,0,0,10,0,6,0,6
scaffolding,com.pst.crewpro.enums,PeriodEnum,0,27,0,0,0,5,0,1,0,1
scaffolding,com.pst.crewpro.enums,TypeEnum,0,33,0,0,0,6,0,1,0,1
scaffolding,com.pst.crewpro.enums,AgreementTypeEnum,0,33,0,0,0,6,0,1,0,1
scaffolding,com.pst.crewpro.enums,RateEnum,0,15,0,0,0,3,0,1,0,1
scaffolding,com.pst.crewpro.controllers,ProfilesController,0,111,0,0,0,25,0,6,0,6
scaffolding,com.pst.crewpro.mapper,ProfilesMapper,0,5,0,0,0,1,0,1,0,1
scaffolding,com.pst.crewpro.controllers.exceptions,ProfilesExceptionHandler,66,154,8,10,8,37,6,6,0,3
